지겹다	2.51
지긋지긋	2.1
지루	2.64
지리	2.91
진노	1.97
진저리나	2.07
질겁	2.45
질리	2.29
질색	2.23
질투	2.58
짜증	2.06
짝사랑	4.28
찡	4.09
착잡	2.83
참담	1.52
창피	2.54
처량	2.51
처연	2.85
처절	1.89
처참	1.64
체념	2.47
초조	2.74
충족감	5.27
측은	3.07
치떨리	1.8
치가	1.8
치욕	1.6
친애	4.96
침울	2.03
침통	1.97
켕기	2.59
코웃음	2.86
쾌감	5.79
태평	4.55
토라지	2.7
통분	2.52
통쾌	5.79
통탄	1.83
통한	2.16
패배감	1.63
편안	5.4
편하	5.54
평안	5.63
평온	5.46
평화	5.62
풀죽	2.5
허탈	2.67
한	2.35
한맻히	1.6
한스럽	2.27
한탄	2.02
행복	6.16
향수	4.99
허망	2.11
허무	2.28
허전	2.91
허허	3.07
혐오	1.8
호감	5.72
혼비백산	2.32
홀가분	6.24
화나	2.17
환멸	1.71
환희	5.72
황공	4.25
황당	3.3
황송	4.07
황홀	5.72
회개	3.91
회오	3.63
회한	2.49
후련	5.33
후회	2.45
흐뭇	5.48
흠모	4.94
흡족	5.77
흥겹	5.72
흥	5.5
흥미	5.56
흥미진진	5.4
흥분	4.44
흥취	4.71
희	5.21
희비	3.8
희열	5.32
희희낙락	4.71
